,abstract,abstract_without_stopwords,stemmed
48,the aim of this research is to determine the supporting factors for the implementation of mobile learning for elementary school students in indonesia using an authentic approach and realworld activities this is significant because various approaches to mobile learning have been used in elementary institutions however this educational model is not ideal because the data shows that 92 of students have learning difficulties and 38 state they do not receive teachers guidancethe method used was descriptive quantitative with the population of elementary school students and a purposively selected sample of 26 of those pupils samples were taken based on the characteristics of the coastal area and city center to assess their entry behavior questionnaires and test sheets were used moreover data was gathered through home visits and the whatsapp application it was then processed using the percentage technique and the smartpls application to obtain accurate results in addition a qualitative approach was used to develop the analysisaccording to the results the supporting factors for the implementation of mobile learning using an authentic approach and realworld activities are as follows 1 students already have the concrete and logical thinking skills 2 the entry behavior of students are still low and 3 visual and auditory learning styles affect meaningful learning furthermore research suggests that teachers and learning designers should create mobile learning exercises which support authentic learning and realworld pursuits ,aim research determine supporting factors implementation mobile learning elementary school students indonesia using authentic approach realworld activities significant various approaches mobile learning used elementary institutions however educational model ideal data shows 92 students learning difficulties 38 state receive teachers guidancethe method used descriptive quantitative population elementary school students purposively selected sample 26 pupils samples taken based characteristics coastal area city center assess entry behavior questionnaires test sheets used moreover data gathered home visits whatsapp application processed using percentage technique smartpls application obtain accurate results addition qualitative approach used develop analysisaccording results supporting factors implementation mobile learning using authentic approach realworld activities follows 1 students already concrete logical thinking skills 2 entry behavior students still low 3 visual auditory learning styles affect meaningful learning furthermore research suggests teachers learning designers create mobile learning exercises support authentic learning realworld pursuits,aim research determin support factor implement mobil learn elementari school student indonesia use authent approach realworld activ signific various approach mobil learn use elementari institut howev educ model ideal data show 92 student learn difficulti 38 state receiv teacher guidanceth method use descript quantit popul elementari school student purpos select sampl 26 pupil sampl taken base characterist coastal area citi center assess entri behavior questionnair test sheet use moreov data gather home visit whatsapp applic process use percentag techniqu smartpl applic obtain accur result addit qualit approach use develop analysisaccord result support factor implement mobil learn use authent approach realworld activ follow 1 student alreadi concret logic think skill 2 entri behavior student still low 3 visual auditori learn style affect meaning learn furthermor research suggest teacher learn design creat mobil learn exercis support authent learn realworld pursuit
68,this study aimed to develop an android learning media on the concept of redox as an effective efficient practical realtime learning media and in accordance with the facilities owned by students and evaluate the quality and usability of the app the approach used in this research was a quantitative approach in the form of development research while the model used was the hannafin and peck 1988 model the data of this study were collected from the process of development expert evaluations expert reviews and small group evaluation 20 students of the chemistry education study program at a university in indonesia volunteered to use and evaluate the app data was collected by using questionnaires the results indicated that the quality of the application obtained from expert review was 947 furthermore the small group evaluation shows that the usability of  version 11 scored 867 the androidbased learning media of redox concept redokspro application version 11 could be utilized as a mobile learning resource in learning the specific concept of reduction and oxydation reactions,study aimed develop android learning media concept redox effective efficient practical realtime learning media accordance facilities owned students evaluate quality usability app approach used research quantitative approach form development research model used hannafin peck 1988 model data study collected process development expert evaluations expert reviews small group evaluation 20 students chemistry education study program university indonesia volunteered use evaluate app data collected using questionnaires results indicated quality application obtained expert review 947 furthermore small group evaluation shows usability version 11 scored 867 androidbased learning media redox concept redokspro application version 11 could utilized mobile learning resource learning specific concept reduction oxydation reactions,studi aim develop android learn media concept redox effect effici practic realtim learn media accord facil own student evalu qualiti usabl app approach use research quantit approach form develop research model use hannafin peck 1988 model data studi collect process develop expert evalu expert review small group evalu 20 student chemistri educ studi program univers indonesia volunt use evalu app data collect use questionnair result indic qualiti applic obtain expert review 947 furthermor small group evalu show usabl version 11 score 867 androidbas learn media redox concept redokspro applic version 11 could util mobil learn resourc learn specif concept reduct oxyd reaction
77,this paper aims to explore the various problems associated with the technological pedagogical and psychological aspects of mobile learning and develop recommendations for its improvement  mobile learning becomes increasingly popular today this type of learning is relatively new it has recently gained popularity due to the pandemic restrictions in 2020 as mobile learning is being actively used educators students and other professionals begin to note its positive and negative sides  the study is based on the method of experiment as well as an online 11item questionnaire was conducted developed by authors with 110 teachers in russian universities russian state university named by an kosygina im sechenov first moscow state medical university and kuban state technological university  the practical significance and prospects for further research are based on the possibility of using the results in further study of the problem of the impact of mobile applications on specific indicators  it was found that given the great prevalence of mobile devices today there is every reason to implement mobile learning at universities however there are infrastructural problems that prevent the widespread use of this mode of delivery problems with the internet old gadgets that do not support 4g lack of technical support etc teachers also mention a set of problems associated with the quality of such training which are mainly related to pedagogical and psychological aspects of the process about 56 of university teachers say that students often behave irresponsibly during online classes they are inattentive tend to skip lessons and do not hand in the tasks which leads to a decline of knowledge and failing at tests and exams around 68 of teachers have difficulties adapting their teaching methods to a mobile learning environment   this study proposes structured recommendations to improve the quality of mobile learning by advancing technology skills adapting mobile learning to the needs of universities and raising the motivation of teachers and students  the results of the study can be used to analyze and compare the impact of mobile learning on society efficiency in various fields as well as mobile learning of students on future employment and life in societyin the future it will be important to conduct a comparative analysis of the impact of mobile learning on students and teachers to study the effectiveness of such learning in general,paper aims explore various problems associated technological pedagogical psychological aspects mobile learning develop recommendations improvement mobile learning becomes increasingly popular today type learning relatively new recently gained popularity due pandemic restrictions 2020 mobile learning actively used educators students professionals begin note positive negative sides study based method experiment well online 11item questionnaire conducted developed authors 110 teachers russian universities russian state university named kosygina im sechenov first moscow state medical university kuban state technological university practical significance prospects research based possibility using results study problem impact mobile applications specific indicators found given great prevalence mobile devices today every reason implement mobile learning universities however infrastructural problems prevent widespread use mode delivery problems internet old gadgets support 4g lack technical support etc teachers also mention set problems associated quality training mainly related pedagogical psychological aspects process 56 university teachers say students often behave irresponsibly online classes inattentive tend skip lessons hand tasks leads decline knowledge failing tests exams around 68 teachers difficulties adapting teaching methods mobile learning environment study proposes structured recommendations improve quality mobile learning advancing technology skills adapting mobile learning needs universities raising motivation teachers students results study used analyze compare impact mobile learning society efficiency various fields well mobile learning students future employment life societyin future important conduct comparative analysis impact mobile learning students teachers study effectiveness learning general,paper aim explor various problem associ technolog pedagog psycholog aspect mobil learn develop recommend improv mobil learn becom increas popular today type learn relat new recent gain popular due pandem restrict 2020 mobil learn activ use educ student profession begin note posit negat side studi base method experi well onlin 11item questionnair conduct develop author 110 teacher russian univers russian state univers name kosygina im sechenov first moscow state medic univers kuban state technolog univers practic signific prospect research base possibl use result studi problem impact mobil applic specif indic found given great preval mobil devic today everi reason implement mobil learn univers howev infrastructur problem prevent widespread use mode deliveri problem internet old gadget support 4g lack technic support etc teacher also mention set problem associ qualiti train main relat pedagog psycholog aspect process 56 univers teacher say student often behav irrespons onlin class inattent tend skip lesson hand task lead declin knowledg fail test exam around 68 teacher difficulti adapt teach method mobil learn environ studi propos structur recommend improv qualiti mobil learn advanc technolog skill adapt mobil learn need univers rais motiv teacher student result studi use analyz compar impact mobil learn societi effici various field well mobil learn student futur employ life societyin futur import conduct compar analysi impact mobil learn student teacher studi effect learn general
93,the saudi arabian government is committed to updating and improving its education system thus in march 2017 a project was declared to convert the existing bookbased methodology to modern mobile technology in the k12 education space by 2021 as part of this process a deepdive literature review of student acceptance of mobile learning confirmed that there was limited research into what elements had an effect on how much students were likely to accept learning with mobile applications in the five to 18yearold demographic of k12 the conclusion of the literature review was that the saudi arabian education ministry must acquire an understanding of these elements in order to strategize the implementation of the new technology this study approached high school students aged 16 – 18 in saudi arabia to examine the elements which would influence their acceptance of mobile learning technology the research consolidated known elements of education namely learning selfmanagement system quality and hedonic motivation with the unified theory of acceptance and use of technology utaut to create a significant theoretical model for the new technology in a high school setting conclusions were drawn that societal influence did not affect the students approach to mobile learning but that learning selfmanagement the expectancy of effort and performance hedonic motivation and the quality of the system did affect the acceptance behaviour of the students it was also noted that gender was not a significant factor in the study,saudi arabian government committed updating improving education system thus march 2017 project declared convert existing bookbased methodology modern mobile technology k12 education space 2021 part process deepdive literature review student acceptance mobile learning confirmed limited research elements effect much students likely accept learning mobile applications five 18yearold demographic k12 conclusion literature review saudi arabian education ministry must acquire understanding elements order strategize implementation new technology study approached high school students aged 16 – 18 saudi arabia examine elements would influence acceptance mobile learning technology research consolidated known elements education namely learning selfmanagement system quality hedonic motivation unified theory acceptance use technology utaut create significant theoretical model new technology high school setting conclusions drawn societal influence affect students approach mobile learning learning selfmanagement expectancy effort performance hedonic motivation quality system affect acceptance behaviour students also noted gender significant factor study,saudi arabian govern commit updat improv educ system thus march 2017 project declar convert exist bookbas methodolog modern mobil technolog k12 educ space 2021 part process deepdiv literatur review student accept mobil learn confirm limit research element effect much student like accept learn mobil applic five 18yearold demograph k12 conclus literatur review saudi arabian educ ministri must acquir understand element order strateg implement new technolog studi approach high school student age 16 – 18 saudi arabia examin element would influenc accept mobil learn technolog research consolid known element educ name learn selfmanag system qualiti hedon motiv unifi theori accept use technolog utaut creat signific theoret model new technolog high school set conclus drawn societ influenc affect student approach mobil learn learn selfmanag expect effort perform hedon motiv qualiti system affect accept behaviour student also note gender signific factor studi
95,since 2020 covid 19 has completely changed the daily activities of almost all nations and education has been heavily affected because of school closures facetoface classrooms were halted or replaced with online classes in which both lecturers and learners had to adjust their teaching and learning styles to cope with unexpected situations the ‘new normal of learning from homes spending hours staring at screens and struggling with piles of online tasks has somehow demotivated students to continue learning this study explores factors affecting students desire to take online courses after experiencing elearning during covid 19 nine hundred fiftyfive students of vietnam national university took part in the survey via an online questionnaire data were analyzed using spss20 correlation hierarchical regression was employed to examine how online factors influence students decision the research results showed that skill enhancement selfregulated learning lecturer interaction during the course were among the most important predictors of students desire to take more online courses in contrast student interaction imposed no significant influence this study gives the theoretical background for other studies in the same field and suggests practical implications for governments and universities to implement online training better to cope with the pandemic,since 2020 covid 19 completely changed daily activities almost nations education heavily affected school closures facetoface classrooms halted replaced online classes lecturers learners adjust teaching learning styles cope unexpected situations ‘new normal learning homes spending hours staring screens struggling piles online tasks somehow demotivated students continue learning study explores factors affecting students desire take online courses experiencing elearning covid 19 nine hundred fiftyfive students vietnam national university took part survey via online questionnaire data analyzed using spss20 correlation hierarchical regression employed examine online factors influence students decision research results showed skill enhancement selfregulated learning lecturer interaction course among important predictors students desire take online courses contrast student interaction imposed significant influence study gives theoretical background studies field suggests practical implications governments universities implement online training better cope pandemic,sinc 2020 covid 19 complet chang daili activ almost nation educ heavili affect school closur facetofac classroom halt replac onlin class lectur learner adjust teach learn style cope unexpect situat new normal learn home spend hour stare screen struggl pile onlin task somehow demotiv student continu learn studi explor factor affect student desir take onlin cours experienc elearn covid 19 nine hundr fiftyf student vietnam nation univers took part survey via onlin questionnair data analyz use spss20 correl hierarch regress employ examin onlin factor influenc student decis research result show skill enhanc selfregul learn lectur interact cours among import predictor student desir take onlin cours contrast student interact impos signific influenc studi give theoret background studi field suggest practic implic govern univers implement onlin train better cope pandem
196,a model consisting of five dimensions of mobile learning preferences â location level of distractions time of day level of motivation and available time â is proposed in this paper the aim of the model is to potentially increase the learning effectiveness of individuals or groups by appropriately matching and allocating mobile learning materialsapplications according to each learnerâs type examples are given our current research investigations relating to this model are described,model consisting five dimensions mobile learning preferences â location level distractions time day level motivation available time â proposed paper aim model potentially increase learning effectiveness individuals groups appropriately matching allocating mobile learning materialsapplications according learnerâs type examples given current research investigations relating model described,model consist five dimens mobil learn prefer â locat level distract time day level motiv avail time â propos paper aim model potenti increas learn effect individu group appropri match alloc mobil learn materialsappl accord learnerâ type exampl given current research investig relat model describ
206,this paper analyses different definitions of mobile learning which have been proposed by various researchers  the most distinctive features of mobile learning are extracted to propose a new definition for mobile educational mixed reality games memrg  a questionnaire and a quantifying scale are designed to assist the game developers in designing memrg  a new psychopedagogical approach to teaching is proposed for memrg   this methodology is based on the theme of âconversationâ between different actors of the learning community with the objective of building the architectural framework for memrg,paper analyses different definitions mobile learning proposed various researchers distinctive features mobile learning extracted propose new definition mobile educational mixed reality games memrg questionnaire quantifying scale designed assist game developers designing memrg new psychopedagogical approach teaching proposed memrg methodology based theme âconversationâ different actors learning community objective building architectural framework memrg,paper analys differ definit mobil learn propos various research distinct featur mobil learn extract propos new definit mobil educ mix realiti game memrg questionnair quantifi scale design assist game develop design memrg new psychopedagog approach teach propos memrg methodolog base theme âconversationâ differ actor learn communiti object build architectur framework memrg
216,in the last years several mobile learning courses have been experimented the increasing popularity and additional features of mobile devices is one of the key reasons for mobile learning courses development the superior portability and accessibility of those equipments makes them suitable for remote and interactive learning courses in this context this paper focuses on the implementation of a mobile learning framework for an analog electronics course this course was designed as a complement to the classic analog electronics courses this course consists of several interactive multimedia modules at the end of which students have to answer several oriented questions these give feedback about the learning process to the teacher which receives sms messages with the results a specific module is responsible for storing and managing the answers in a server where all the results from students are processed in a competitive learning based methodology application,last years several mobile learning courses experimented increasing popularity additional features mobile devices one key reasons mobile learning courses development superior portability accessibility equipments makes suitable remote interactive learning courses context paper focuses implementation mobile learning framework analog electronics course course designed complement classic analog electronics courses course consists several interactive multimedia modules end students answer several oriented questions give feedback learning process teacher receives sms messages results specific module responsible storing managing answers server results students processed competitive learning based methodology application,last year sever mobil learn cours experi increas popular addit featur mobil devic one key reason mobil learn cours develop superior portabl access equip make suitabl remot interact learn cours context paper focus implement mobil learn framework analog electron cours cours design complement classic analog electron cours cours consist sever interact multimedia modul end student answer sever orient question give feedback learn process teacher receiv sms messag result specif modul respons store manag answer server result student process competit learn base methodolog applic
217,the aim of this study was to examine the motivation psychology and language effect on mobile learning in the school of distance education universiti sains malaysia penang mobile learning or mlearning is a new learning phenomenon in the open and distance learning environments moving from stationary to mobile learning allows informal collaboration and interaction between learners therefore there is a necessity to revise peopleâs psychological factors process and mechanisms that underlie mlearning so that the practice can move from technologycentred implementation to humancentred effective learning processes  the statistical package for social science spss version 120 and rasch model analysis was used to measure these items the 5point likert scale questionnaires 12 items being sent to 105 distance education students from four courses including bachelor of science bachelor of arts bachelor of social science and bachelor of management which was distributed in tutorial sessions during the annual residential intensive course in the main campus of the universiti sains malaysia by their respective course managers the finding shows that a positive response from the learners as they feel happy to use this additional learning tools mobile learning learnerâs feel supported and motivated to use the mobile application with the usability of simple language,aim study examine motivation psychology language effect mobile learning school distance education universiti sains malaysia penang mobile learning mlearning new learning phenomenon open distance learning environments moving stationary mobile learning allows informal collaboration interaction learners therefore necessity revise peopleâs psychological factors process mechanisms underlie mlearning practice move technologycentred implementation humancentred effective learning processes statistical package social science spss version 120 rasch model analysis used measure items 5point likert scale questionnaires 12 items sent 105 distance education students four courses including bachelor science bachelor arts bachelor social science bachelor management distributed tutorial sessions annual residential intensive course main campus universiti sains malaysia respective course managers finding shows positive response learners feel happy use additional learning tools mobile learning learnerâs feel supported motivated use mobile application usability simple language,aim studi examin motiv psycholog languag effect mobil learn school distanc educ univers sain malaysia penang mobil learn mlearn new learn phenomenon open distanc learn environ move stationari mobil learn allow inform collabor interact learner therefor necess revis peopleâ psycholog factor process mechan underli mlearn practic move technologycentr implement humancentr effect learn process statist packag social scienc spss version 120 rasch model analysi use measur item 5point likert scale questionnair 12 item sent 105 distanc educ student four cours includ bachelor scienc bachelor art bachelor social scienc bachelor manag distribut tutori session annual residenti intens cours main campus univers sain malaysia respect cours manag find show posit respons learner feel happi use addit learn tool mobil learn learnerâ feel support motiv use mobil applic usabl simpl languag
222,the purpose of this study is to determine whether learners are willing to transfer learning in this mobile learning environment via sms  the reason for this is to measure the effectiveness of the new method used in learning and education especially in distance education field  for this reason studentsâ responses are gathered which looked at three factors namely learner characteristic learning design and learning environment the data are gathered through a survey research design with questionnaires using fivepoint likert scale the questionnaires was administered for 105 distance education students from four courses including bachelor of science bachelor of arts bachelor of social science and bachelor of management the rasch model analysis was used to measure these dimensions rasch model is a oneparameter logistic model within item response theory irt whereby the amount of a given latent trait in a person and the amount of that same latent trait reflected in various items can be estimated independently yet still compared explicitly to one another  the result of the study showed that learning transfer occurred and being influenced most by learnerâs characteristics especially in term of their motivation as well as their perceive utilityvalue of the sms learning to their job and academic performances,purpose study determine whether learners willing transfer learning mobile learning environment via sms reason measure effectiveness new method used learning education especially distance education field reason studentsâ responses gathered looked three factors namely learner characteristic learning design learning environment data gathered survey research design questionnaires using fivepoint likert scale questionnaires administered 105 distance education students four courses including bachelor science bachelor arts bachelor social science bachelor management rasch model analysis used measure dimensions rasch model oneparameter logistic model within item response theory irt whereby amount given latent trait person amount latent trait reflected various items estimated independently yet still compared explicitly one another result study showed learning transfer occurred influenced learnerâs characteristics especially term motivation well perceive utilityvalue sms learning job academic performances,purpos studi determin whether learner will transfer learn mobil learn environ via sms reason measur effect new method use learn educ especi distanc educ field reason studentsâ respons gather look three factor name learner characterist learn design learn environ data gather survey research design questionnair use fivepoint likert scale questionnair administ 105 distanc educ student four cours includ bachelor scienc bachelor art bachelor social scienc bachelor manag rasch model analysi use measur dimens rasch model oneparamet logist model within item respons theori irt wherebi amount given latent trait person amount latent trait reflect various item estim independ yet still compar explicit one anoth result studi show learn transfer occur influenc learnerâ characterist especi term motiv well perceiv utilityvalu sms learn job academ perform
